date,prices
2019-01-02,4131.9567
2019-01-03,4112.8070
2019-01-04,4210.8786
2019-01-07,4288.3234
2019-01-08,4277.2967
2019-01-09,4288.7717
2019-01-10,4281.8606
2019-01-11,4314.8757
2019-01-14,4286.5474
2019-01-15,4347.3555
2019-01-16,4336.8779
2019-01-17,4303.7308
2019-01-18,4347.8112
2019-01-21,4373.6333
2019-01-22,4308.2518
2019-01-23,4315.6846
2019-01-24,4338.1700
2019-01-25,4318.4417
2019-01-28,4307.2196
2019-01-29,4254.2875
2019-01-30,4211.6235
2019-01-31,4176.4739
2019-02-01,4294.2696
2019-02-11,4402.8668
2019-02-12,4439.4850
2019-02-13,4512.4088
2019-02-14,4532.1699
2019-02-15,4502.7348
2019-02-18,4660.9990
2019-02-19,4667.2836
2019-02-20,4667.6243
2019-02-21,4659.1431
2019-02-22,4777.2977
2019-02-25,5044.3466
2019-02-26,5038.5435
2019-02-27,5017.8842
2019-02-28,5025.2913
2019-03-01,5067.2250
2019-03-04,5158.2467
2019-03-05,5295.2878
2019-03-06,5390.0294
2019-03-07,5458.6153
2019-03-08,5245.6999
2019-03-11,5456.3810
2019-03-12,5551.0029
2019-03-13,5424.8642
2019-03-14,5298.5024
2019-03-15,5359.0087
2019-03-18,5501.1830
2019-03-19,5522.1801
2019-03-20,5515.7856
2019-03-21,5589.4780
2019-03-22,5622.1402
2019-03-25,5549.6711
2019-03-26,5394.8787
2019-03-27,5447.8795
2019-03-28,5370.1234
2019-03-29,5547.6561
2019-04-01,5757.8379
2019-04-02,5775.5497
2019-04-03,5836.0369
2019-04-04,5871.5575
2019-04-08,5847.6296
2019-04-09,5858.0464
2019-04-10,5850.7609
2019-04-11,5727.1749
2019-04-12,5714.3676
2019-04-15,5655.9825
2019-04-16,5777.0111
2019-04-17,5807.7288
2019-04-18,5775.1710
2019-04-19,5810.1798
2019-04-22,5723.0417
2019-04-23,5628.0624
2019-04-24,5679.7256
2019-04-25,5458.4194
2019-04-26,5408.0306
2019-04-29,5265.6011
2019-04-30,5307.5600
2019-05-06,4908.7984
2019-05-07,4973.4043
2019-05-08,4947.7419
2019-05-09,4888.4128
2019-05-10,5064.3230
2019-05-13,5005.9044
2019-05-14,4965.6124
2019-05-15,5076.5550
2019-05-16,5108.3588
2019-05-17,4942.5792
2019-05-20,4923.5589
2019-05-21,5009.8725
2019-05-22,4976.3929
2019-05-23,4872.9202
2019-05-24,4841.7573
2019-05-27,4962.9470
2019-05-28,4955.4855
2019-05-29,4956.8638
2019-05-30,4926.4030
2019-05-31,4912.0005
2019-06-03,4853.8153
2019-06-04,4795.4129
2019-06-05,4783.8245
2019-06-06,4678.7844
2019-06-10,4725.2643
2019-06-11,4901.4723
2019-06-12,4863.4922
2019-06-13,4877.6505
2019-06-14,4795.5267
2019-06-17,4802.8185
2019-06-18,4797.1468
2019-06-19,4858.9164
2019-06-20,4954.7338
2019-06-21,5021.3051
2019-06-24,5024.2046
2019-06-25,4974.9882
2019-06-26,4962.5936
2019-06-27,5007.4833
2019-06-28,4950.4798
2019-07-01,5100.2619
2019-07-02,5084.4100
2019-07-03,5040.7227
2019-07-04,5025.0207
2019-07-05,5042.6599
2019-07-08,4870.7807
2019-07-09,4881.6235
2019-07-10,4843.8649
2019-07-11,4844.5474
2019-07-12,4861.5679
2019-07-15,4925.3243
2019-07-16,4932.0458
2019-07-17,4929.0850
2019-07-18,4844.1087
2019-07-19,4878.6903
2019-07-22,4776.5749
2019-07-23,4823.9182
2019-07-24,4873.0271
2019-07-25,4891.6432
2019-07-26,4898.1099
2019-07-29,4897.0183
2019-07-30,4922.9175
2019-07-31,4903.2030
2019-08-01,4870.4690
2019-08-02,4809.9198
2019-08-05,4751.9846
2019-08-06,4650.5627
2019-08-07,4626.3641
2019-08-08,4656.1009
2019-08-09,4600.3526
2019-08-12,4685.0450
2019-08-13,4658.3884
2019-08-14,4683.8403
2019-08-15,4706.5504
2019-08-16,4722.6625
2019-08-19,4875.0363
2019-08-20,4872.6061
2019-08-21,4882.7213
2019-08-22,4887.9142
2019-08-23,4887.9024
2019-08-26,4855.4584
2019-08-27,4936.1238
2019-08-28,4928.1935
2019-08-29,4934.1838
2019-08-30,4886.4940
2019-09-02,5008.2958
2019-09-03,5044.1805
2019-09-04,5093.2662
2019-09-05,5138.4051
2019-09-06,5154.6378
2019-09-09,5263.4594
2019-09-10,5245.3050
2019-09-11,5217.2913
2019-09-12,5242.6115
2019-09-16,5250.3398
2019-09-17,5140.4502
2019-09-18,5141.0381
2019-09-19,5191.6687
2019-09-20,5204.4848
2019-09-23,5171.4840
2019-09-24,5180.7418
2019-09-25,5087.0091
2019-09-26,4970.2403
2019-09-27,5005.6299
2019-09-30,4940.9030
2019-10-08,4941.7607
2019-10-09,4982.9535
2019-10-10,5046.3594
2019-10-11,5055.5165
2019-10-14,5131.1312
2019-10-15,5061.0029
2019-10-16,5038.3560
2019-10-17,5029.8540
2019-10-18,4961.8072
2019-10-21,4951.0354
2019-10-22,5005.5525
2019-10-23,4967.1949
2019-10-24,4958.2465
2019-10-25,4994.5684
2019-10-28,5084.4677
2019-10-29,5007.7126
2019-10-30,4947.8954
2019-10-31,4917.4174
2019-11-01,4962.3495
2019-11-04,4987.8364
2019-11-05,5025.3029
2019-11-06,4974.7343
2019-11-07,5007.0666
2019-11-08,4988.2938
2019-11-11,4876.1594
2019-11-12,4881.6144
2019-11-13,4875.5430
2019-11-14,4912.1075
2019-11-15,4868.4367
2019-11-18,4892.4609
2019-11-19,4975.1128
2019-11-20,4946.2757
2019-11-21,4945.7188
2019-11-22,4904.0828
2019-11-25,4901.5021
2019-11-26,4882.1624
2019-11-27,4904.2568
2019-11-28,4889.2595
2019-11-29,4894.9416
2019-12-02,4905.4209
2019-12-03,4926.4548
2019-12-04,4920.6682
2019-12-05,4967.6021
2019-12-06,5010.5104
2019-12-09,5024.6040
2019-12-10,5049.0514
2019-12-11,5027.2784
2019-12-12,5012.0011
2019-12-13,5073.6858
2019-12-16,5166.0391
2019-12-17,5236.0624
2019-12-18,5235.1248
2019-12-19,5241.7376
2019-12-20,5184.6752
2019-12-23,5084.3505
2019-12-24,5162.0702
2019-12-25,5183.0986
2019-12-26,5219.1404
2019-12-27,5179.1929
2019-12-30,5241.9383
2019-12-31,5267.6622
