,医药生物,电子,银行,食品饮料,计算机,房地产,传媒,家用电器,电气设备,汽车
2019-01-02,29132.632573,22608.110594,60844.691081,21583.108767,14082.652497,18176.408759,12265.042079,9545.898323,13890.761963,14710.42748
2019-01-03,28593.876939,22217.800704,61222.620564,21162.991316,13997.998355,18153.907903,12183.819025,9450.63545,13870.499235,14562.52294
2019-01-04,29334.935194,22656.019647,62278.121569,21551.245858,14541.884477,18619.368891,12520.912617,9665.835895,14294.015752,14780.328334
2019-01-07,29516.362523,23262.524288,62072.303323,21732.811445,14922.458607,18772.112562,12733.562913,9727.417394,14698.885972,14967.825621
2019-01-08,29457.737065,23333.138785,61662.203395,21662.315644,14842.511891,18678.741342,12710.179068,9746.29003,14724.465753,14929.829695
2019-01-09,29710.331675,23561.825621,62174.780062,22014.047333,14871.717138,18784.567761,12740.597175,9915.619172,14656.025975,15211.485132
2019-01-10,29550.64231,23552.50076,62280.040957,21964.987253,14822.669204,18634.491307,12716.400477,9902.580995,14824.679165,15059.765004
2019-01-11,29600.940062,23773.620754,62701.879535,22364.617527,14958.010288,18764.479746,12785.964663,9912.77732,14861.479181,15183.423723
2019-01-14,29164.967389,23476.708159,62243.539044,22070.836929,14768.626984,18625.869144,12665.4315,9857.283589,14771.636535,15084.571285
2019-01-15,29745.127993,23908.66142,62779.145576,23209.551888,15077.401167,18778.111831,12779.520777,10117.720378,15024.241361,15198.917241
2019-01-16,30067.536787,23709.639564,62838.146858,23165.853974,15157.276757,18833.226108,12824.2582,10136.229671,14936.469658,15240.476035
2019-01-17,29885.309739,23361.039244,62721.577011,23122.594776,14910.962617,18751.516212,12755.302248,10050.632769,14806.393841,15077.046921
2019-01-18,30554.535418,23615.70826,63869.827669,23638.722363,14987.997039,18945.138204,12774.146043,10213.724199,14870.944666,15188.673988
2019-01-21,30743.30678,23846.540141,64070.54073,23938.960851,15071.353427,18889.8447,12795.727772,10286.853952,14942.266604,15364.721283
2019-01-22,30372.941158,23588.265246,63578.509472,23526.059854,14848.396482,18812.228267,12631.985268,10137.820589,14773.121612,15182.741735
2019-01-23,30276.581499,23523.701709,64004.40748,23460.769759,14832.944653,18791.088743,12630.330063,10175.325718,14845.175563,15290.302048
2019-01-24,30376.438661,23847.060244,64440.136615,23646.919287,15037.093106,18795.46929,12725.683293,10261.847656,14903.62715,15332.491345
2019-01-25,30271.030438,23922.220852,65356.552994,23767.677094,14907.658299,18928.777358,12673.686883,10350.42878,14875.920733,15425.608374
2019-01-28,29902.084682,23903.718937,65263.015412,23807.597428,14883.161944,18869.692464,12567.681997,10342.859177,14910.882549,15315.705917
2019-01-29,29724.1046,23401.207783,65670.174679,23961.677055,14670.455742,19024.275787,12286.095072,10427.257407,14693.87835,15151.854782
2019-01-30,29463.946541,23150.422364,65503.259482,23591.903936,14390.137444,19094.386682,12010.058521,10284.365104,14747.444134,14961.139354
2019-01-31,29355.39178,23146.631877,66586.782602,23828.679749,14183.570473,19070.793576,11853.127922,10439.369725,14351.801498,15292.096935
2019-02-01,30339.888297,24028.362345,66616.00648,24291.747089,14669.987526,19278.795922,12193.098703,10603.994729,14812.285929,15587.948043
2019-02-11,31143.298511,24941.232042,66531.008459,25274.871297,15244.026625,19565.124113,12501.474751,10915.884605,15169.842654,15905.393896
2019-02-12,31914.429523,25457.219437,66648.891977,25235.933998,15363.297988,19664.409521,12625.638067,11012.687502,15271.044011,16110.751997
2019-02-13,32368.859623,26513.933209,67486.320339,25651.390462,15787.462616,19980.59015,12821.306282,11158.412004,15446.523495,16473.366108
2019-02-14,32591.295938,26741.338358,66985.104488,26012.755504,15813.889477,20024.669505,12928.729239,11263.875815,15677.344505,16492.091748
2019-02-15,32339.780714,26684.635158,65702.198932,25556.924111,15753.366356,19640.190566,12832.040243,10930.914145,15553.329002,16121.732685
